# Number	E	N	U
147 1.140871868607047723e+01 -6.368061428309162997e-01 -1.900102245781142840e-01
148 2.601655690496924933e+01 -5.810194232352516863e-01 -1.900530338004131625e-01
149 4.062439528962396906e+01 -5.252327093305724226e-01 -1.301292630724386612e-01
150 5.523223295401507471e+01 -4.694459879860516383e-01 -1.602389143713153219e-01
151 6.984007037395619477e+01 -4.136592681110111691e-01 -1.803819890712293761e-01
152 8.444790801431554428e+01 -3.578725533105279188e-01 -1.605584840487437603e-01
153 9.905574537504671184e+01 -3.020858381752434818e-01 -1.507684024793451982e-01
154 1.136635816744664709e+02 -2.462991211172418371e-01 -1.910117433097971440e-01
155 -1.712698162890765161e+02 1.975719736442603391e+01 -4.723278568664230903e-01
156 -1.566619774928094841e+02 1.981298396878630186e+01 -4.119528898081181723e-01
157 -1.420541364124492247e+02 1.986877026076295039e+01 -4.516113439765625515e-01
158 -1.274462961273473809e+02 1.992455661331993610e+01 -4.713032222346029698e-01
159 -1.128384565022771540e+02 1.998034302812512664e+01 -4.710285208641504795e-01
160 -9.823061755362094516e+01 2.003612953565018273e+01 -4.407872408241555462e-01
161 -8.362277815824208460e+01 2.009191591596407278e+01 -4.505793847344214953e-01
162 -6.901493924117004042e+01 2.014770235947322163e+01 -4.404049492455541781e-01
